Unnamed: 0,lang,text
190,gu,"મોટા ભાગનું પાણી દરિયા, સરોવર, નદીઓ, હિમનદીઓ, બરફથી છવાયેલો રહેલો ધ્રૃવ વિસ્તાર અને જમીનમાં એકઠું થાય છે."
191,gu,પરિવારમાં સુખશાંતિ વધશે.
192,gu,લોકોએ આવી ચોંકાવનારી પ્રતિક્રિયા આપી છે.
193,gu,સાયન્ટિસ્ટ વિજ્ઞાન સાહિત્ય?
194,gu,બાઇબલમાં કરવામાં આવેલ શેતાનના વર્ણન પરથી જોઈ શકાય કે તે કેટલો ભ્રષ્ટ છે.
195,gu,એમેઝોન. કોમ
196,gu,ભ્રમ: ખાંડ ખાવાથી ડાયાબિટીસ થાય છે
197,gu,ક્યારેય તમારી વિગત ફોન પર કોઈને ન આપશો.
198,gu,એ પરતંત્રતા પ્રેમને પ્રગટાવે છે.
199,gu,તે તમે નથી-તે છે
0,hi,जिसके जवाब में पाक ने अच्छी शुरुआत की थी.
1,hi,"यूरोपीय संघ के महत्वपूर्ण संस्थानों में यूरोपियन कमीशन, यूरोपीय संसद, यूरोपीय संघ परिषद, यूरोपीय न्यायलय एवं यूरोपियन सेंट्रल बैंक इत्यादि शामिल हैं।"
2,hi,कांग्रेस नेता तमिलनाडु से शिवगंगा लोकसभा क्षेत्र का प्रतिनिधित्व करते हैं.
3,hi,संबंधन प्रयास के बारे में उपयोक्ता को प्रांप्ट करें
4,hi,"वित्त मंत्री ने घोषणा कि जमा बीमा और ऋण गारंटी निगम (डीआईसीजीसी) को जमा राशि बीमा का दायरा, जो इस समय 1 लाख रुपये है उसे बढ़ाकर प्रति जमाकर्ता 5 लाख रुपये करने की अनुमति प्रदान कर दी गई है।"
5,hi,"इस कारण हे भाइयों, अपने बुलाए जाने, और चुन लिये जाने को सिद्ध करने का भली भांति यत्न करते जाओ, क्योंकि यदि ऐसा करोगे, तो कभी भी ठोकर न खाओगे।"
6,hi,"समिति में जिला एवं सत्र न्यायाधीश, कलेक्टर, पुलिस अधीक्षक व जिला विधिक सेवा प्राधिकरण के सचिव शामिल रहते हैं।"
7,hi,पुलिस मौके पर मौजूद है।
8,hi,जम्मू एवं कश्मीर विधानसभा के लिए दूसरे चरण के तहत होने वाले मतदान के लिए प्रधानमंत्री नरेंद्र मोदी भारतीय जनता पार्टी (भाजपा) के पक्ष में शुक्रवार को यहां रैलियां करेंगे।
9,hi,और 3050एमएएच की दमदार बैटरी से लैस है।
10,hi,"उन्होंने कहा, बाबू रघुवंश प्रसाद जी ने भी गरीबों के लिए काम किया।"
11,hi,इस विमान हादसे में सभी 176 यात्रियों की मौत हो गई थी.
12,hi,"राहुल ने कहा, मैं वही सवाल फिर से पूछता हूं।"
13,hi,मीका ने यह बताया कि सच्ची उपासना कैसे उन लोगों को भी एक कर देगी जो पहले एक - दूसरे के दुश्‍मन थे ।
14,hi,आमंत्रित नहीं किया
15,hi,"“ बड़ी भीड़ ” के ये लोग, अपनी तलवारों को पीटकर हल के फाल बनाते हुए, और इस तरह अपने संगी यहोवा के गवाहों के साथ शांति से जीकर ईश्‍वरीय न्याय के अनुरूप होते हैं ।"
16,hi,सनी लियोन श्रृंखला में एक विशेषज्ञ की भूमिका निभाती हैं।
17,hi,इसके बाद जब य सुख जाए तो इसे साफ पानी से धो लें।
18,hi,भाटिया भारतीय जनता पार्टी के प्रवक्ता भी हैं।
19,hi,इसके जरिये ही हम देश का निर्माण करेंगे और उसे महान बना पायेंगे।
20,hi,नारियल तेल और नींबू का रस:
21,hi,"फोर्टिस हेल्थकेयर के एमडी और सीईओ डॉ. आशुतोष रघुवंशी, वरिष्ठ वाइस प्रेसिडेंट (कोरपोरेट मामले एवं सीएसआर) मनु कपिला, एसआरएल के सीईओ आनंद कुमार ने चैक भारतीय चिकित्सा अनुसंधान परिषद (आईसीएमआर) के महानिदेशक प्रोफेसर (डॉ.) बलराम भार्गव और वरिष्ठ वित्त सलाहकार राजीव रॉय को सौंपा"
22,hi,मंत्रालय ने बताया कि राष्ट्रीय खाद्य सुरक्षा कानून (एनएफएसए) की योजना व अन्य कल्याणकारी योजनाओं के तहत हर महीने करीब 55 लाख टन अनाज की आवश्यकता होती है।
23,hi,हमारा समस्त जीवन तथा हमारी समस्त मूल सत्ता सच्चिदानन्द की प्राप्ति-रूप हो जाती है।
24,hi,पूरी दुनिया यहां आ रही है।
25,hi,"पार्टी ने अथानी से गजानन बालचंद्र मंगसूली, कागवाड़ से भरमगौड़ा अलागौड़ा केज और गोकक विधानसभा क्षेत्रों से लखन जारकीहोली को मैदान में उतारा है।"
26,hi,भीलवाड़ा में न्यूनतम तापमान 2 डिग्री सेल्सियस दर्ज किया गया।
27,hi,लघु-उद्योगों में कम पूंजी नियोजन पर ही रोजगार क्षमता अधिक होती है।
28,hi,दिल्ली सरकार द्वारा संचालित राजीव गांधी सुपर स्पेशिलिटी अस्पताल में मृत्यु दर जून के शुरू में छह फीसदी थी और जुलाई के प्रारंभ में सात फीसदी हुई।
29,hi,इंजीनियरी और सूचना विज्ञान में तीव्र परिवर्तन हो रहे हैं।
30,hi,इन जगहों की अधिकांश सीटों पर कांग्रेस ने जीत हासिल की।
31,hi,"नई दिल्ली, 14 मई, 2010"
32,hi,इसके बाद कुछ समझौतों पर हस्ताक्षर किए जा सकते हैं।
33,hi,अल्जीरिया में एक सैन्य विमान दुर्घटनाग्रस्त
34,hi,प्रधानमंत्री श्री नरेन्‍द्र मोदी की अध्‍यक्षता में केंद्रीय मंत्रिमंडल को जैव-प्रौद्योगिकी के क्षेत्र में भारत और क्यूबा तथा भारत और कोरिया के बीच हुए दो द्विपक्षीय समझौता ज्ञापनों (एमओयू) से अवगत कराया गया
35,hi,ऊपर-नीचे
36,hi,कोच्ची की रहने वाली छात्रा हनान ने कहा कि यह पैसा उसके पढ़ाई के लिए किए जा रहे संघर्ष के सोशल मीडिया पर शेयर किए जाने के बाद लोगों ने उसकी और उसके परिवार की मदद के लिए दिया गया था। हनान ने कहा यह पैसा मुझे लोगों से मिला था और जरुरतमंदों की मदद के लिए इसे वापस देकर मैं बहुत खुश हूं।
37,hi,तो वो मिलने आईं।
38,hi,शायद आपमें से कई लोग दो विक्रेताओं (सेल्समेन) की कहानी जानते हैं जो १९०० सदी में अफ्रीका गए.
39,hi,जनगणना 2021 के संबंध में 2018 में किए जाने वाले आवश्यक कार्यों पर भी चर्चा की गई।
40,hi,(मगर जब किताब आयी) तो उन लोगों ने उससे इन्कार किया ख़ैर अनक़रीब (उसका नतीजा) उन्हें मालूम हो जाएगा
41,hi,"एडीआईए के कार्यकारी निदेशक हमाद शाहवान अल्दहाहेरी ने कहा,” आरआरवीएल भारत के खुदरा बाजार में तेजी के साथ मजबूती से उभरा है और भौतिक और डिजिटल आपूर्ति श्रंखला में मजबूत पहचान बनाई है।"
42,hi,मैं उस पर टिप्पणी नहीं करूंगा।
43,hi,तेजस्वी का नीतीश सरकार पर बड़ा आरोप
44,hi,साथ ही पुलिस (Police) ने यह भी बताया कि मामले की जांच शुरू कर दी गई है.
45,hi,क्या वो आतंकी नहीं था।
46,hi,"फिर सनान, हदाशा, मिगदलगाद,"
47,hi,इससे उधारी बढ़ती जाती है।
48,hi,हैंडिल पर वह हाथ एक बार फिर घूमा।
49,hi,सेहतमंद रहने के लिए सुबह का नाश्ता बहुत जरूरी होता है।
50,hi,"दोस्तों, जब हम पृथ्वी के बारे में बात करते हैं, तो आप यह भी देख रहे होंगे कि आज आईएसए, अर्थात अंतर्राष्ट्रीय सौर गठबंधन एक बड़ा वैश्विक आंदोलन बन रहा है।"
51,hi,"इसके अलावा सलमान खान, सलीम खान, हेमा मालिनी, धर्मेंद्र, शत्रुघ्न सिन्हा आदि बॉलीवुड सितारे इस समारोह में पहुंचे।"
52,hi,"काहिल ने कहा, यह शानदार था।"
53,hi,"करणी सेना के प्रवक्ता विजेंद्र सिंह ने कहा, “राजपूत कभी भी स्कूल बस पर हमला करने के बारे में सोच भी नहीं सकते।"
54,hi,मौके पर पहुंची पुलिस ने तफ्तीश की।
55,hi,राष्ट्र पति ट्रंप ने कहा कि ईश्वर के किसी भी संतान का अंजाम इतना खौफनाक नहीं होना चाहिए।
56,hi,मेरे पास कई विकल्‍प हैं।
57,hi,लेकिन पूरी तरह से खत्म नहीं हुई.
58,hi,क्या है जेसीपीओए?
59,hi,"एक तरीका है, विश्‍वासयोग्य और सूझ - बूझ से काम लेनेवाला दास वर्ग हमें जो निर्देशन देता है, उसे मानना ।"
60,hi,टीम इंडिया के कप्तान विराट कोहली और उनकी पत्नी व बॉलीवुड स्टार अनुष्का शर्मा ने शादी के बाद अपनी पहली दिवाली खास अंदाज में मनाई।
61,hi,"उस साल, कोलकर के एक दल ने राजा को लगभग पकड़ ही लिया था, लेकिन एक कुरुम्बा गार्ड के समय पर चेतावनी देने से वे बच गये।"
62,hi,इस कारण चोटें लगी थीं।
63,hi,मुख्यमंत्री प्रेम सिंह तमांग सहित 15 उम्मीदवारों के भाग्य का फैसला कल होगा।
64,hi,"मुंबई, 19 जून (आईएएनएस)।"
65,hi,"हींग, राई, कढ़ी पत्ता, अदरक प्यूरी व हरी मिर्च डालें।"
66,hi,ओडिशा के मुख्यमंत्री नवीन पटनायक ने आर्सेलरमित्तल समूह के चेयरमैन लक्ष्मी मित्तल से राज्य में निवेश पर वीडियो कॉन्फ्रें सिंग के जरिए चर्चा की।
67,hi,घमंडचंद के समय में कांगड़ा का प्रसिद्ध किला मुस्लिम सूबेदार नवाब सैफ हिमाचल प्रदेश अली खान के हाथों में रहा जो अक्सर परिस्थितियों के अनुसार दिल्ली और काबुल के प्रति बारी बारी अपनी निष्ठा जताता रहता था।
68,hi,एडुल्जी समिति के गठन के खिलाफ थी और चाहती थी कि आरोपों के आधार पर जौहरी को बर्खास्त किया जाए जबकि राय का मानना था कि प्राकृतिक न्याय के सिद्धांत के अनुसार किसी कार्रवाई से पहले जांच जरूरी है.
69,hi,इस निर्णय से आर्थिक इस्तेमाल के लिए बांस को काटने संबंधी अनुमति लेने की आवश्यकता नहीं होगी। इस फैसले को प्रधानमंत्री श्री नरेन्द्र मोदी की अध्यक्षता में सम्पन्न होने वाली मंत्रिमंडल की बैठक में मंजूरी दी गई।
70,hi,"पवन कुमार गुप्ता के पिता हीरा लाल गुप्ता की शिकायत में कुछ हालिया खबरों का जिक्र किया गया, जिनमें आरोप लगाया गया कि चश्मदीद ने कई समाचार चैनलों पर इंटरव्यू के लिए पैसे लिये।"
71,hi,नियमित रूप से व्यायाम आदि को दिनचर्या का हिस्सा बनाने का।
72,hi,"केन्‍द्रीय गृह सचिव श्री राजीव गाबा ने मानसून सीजन के दस्‍तक देने से पहले अग्रिम योजना बनाने के साथ-साथ मानव, भौतिक एवं वित्‍तीय संसाधनों की तैनाती के जरिए अपनी बेहतर तैयारियां सुनिश्चित करने के लिए राज्‍यों और केन्‍द्र शासित प्रदेशों का आह्वान किया है"
73,hi,लोगों की भीड जमा होने लगी।
74,hi,यह एक प्रकार की चुनौती है कि किस प्रकार एक अच्छे विचार का विवेचन करें.
75,hi,"इसलिए, तापमान यह नहीं जानता कि कौन अच्छा है और कौन है।"
76,hi,"ट्रंप ने ट्वीट किया, ‘यह कल्पना के परे है कि सरकार एक वकील के कार्यालय (सुबह) में पहुंच जाएगी – ऐसा शायद ही कभी सुना."
77,hi,फिल्म की कहानी काफी रोचक व दिलचस्प है।
78,hi,पटकथा : श्याम बेनेगल
79,hi,किसी बैंक या व्यक्ति से ऋण प्राप्त कर सकती है.
80,hi,"प्रधानमंत्री मोदी ने ट्वीट कर कहा, ‘अयोध्या पर सुप्रीम कोर्ट का जो भी फ़ैसला आएगा, वह किसी की हार-जीत नहीं होगा।"
81,hi,कर रहे हैं.
82,hi,अगला जो हुआ वह ये कि मिस्टर इंडिया मेरे बगल में बैठे हैं और मैं उनके साथ काम कर रही हूं।
83,hi,"मुस्लिम राष्ट्रीय मंच के अवध क्षेत्र के संयोजक अनिल कुमार सिंह बताते हैं, ‘यात्रा कि लिए इस्तेमाल होने वाला रथ बिलकुल राममंदिर के मॉडल पर बन रहा है."
84,hi,बीते दिनों रोनाल्डो ने जोसेफ बिकान के 759 गोलों के रिकॉर्ड को पीछे छोड़ दिया।
85,hi,बाद में उसे अस्पताल ले जाया गया और इलाज किया गया।
86,hi,"खारी खीजडीया गाँव के लोगों का मुख्य व्यवसाय खेती, खेतमजूरी, पशुपालन और रत्नकला कारीगरी है।"
87,hi,उन्हें तकनीक से दूर रहना चाहिए और पढ़ाई पर ध्यान देना चाहिए.
88,hi,इसके दोषियों को बख्‍शा नहीं जाएगा।
89,hi,सेवा की बुकिंग करने वाला यात्री रेल यात्री सेवक को सत्‍यापन के उद्देश्‍य से अपना पीएनआर बताएगा ।
90,hi,डीजल-पेट्रोल की बढ़ी कीमतों की वजह से लोग त्रस्त हैं।
91,hi,सिवाय उनके जो तेरे चुने हुए बन्दे होंगे।
92,hi,कराधान के दायित्व से बचने की कार्रवाई।
93,hi,तो यह अच्छी बात है।
94,hi,राजीव गोयल को एएफएस का सीएफओ नियुक्त किया जाएगा।
95,hi,उन्हें इंडियन प्रीमियर लीग के दौरान मामूली हैमस्ट्रिंग चोट लग गयी थी।
96,hi,प्रवर्तन निदेशालय के मुताबिक हरियाणा के पंचकुला स्थित प्लाट को जब्त किया गया है जिसे हरियाणा के पूर्व मुख्यमंत्री भूपेंद्र सिंह हुड्डा की ओर से एसोसिएटेड जर्नल्स लिमिटेड को यह संपत्ति आवंटित की गई थी।
97,hi,भारत एपीजी और एफएटीएफ दोनों का सदस्य है।
98,hi,"वाकई, यहोवा पर भरोसा रखने से हमें किसी भी बात की चिंता करने की ज़रूरत नहीं । ”"
99,hi,मंत्रालय ने कहा कि उड़े देश का आम नागरिक यानी उड़ान योजना के तहत अब तक कुल 766 मार्गों को मंजूरी दी गई है।
100,hi,किन्तु जो लोग आख़िरत पर ईमान नहीं रखते वे इस मार्ग से हटकर चलना चाहते है
101,hi,एनीमिया एवं अन्य बीमारियां विशेष रूप से महिलाओं और युवा लड़कियों में बहुत थी।
102,hi,हादसे के बाद से अज्ञात वाहन चालक वाहन को लेकर मौके से फरार हो गया।
103,hi,प्रधानमंत्री श्री नरेन्द्र मोदी ने कर्नाटक के मुख्यमंत्री श्री बी एस येदियुरप्पा के साथ राज्य के विभिन्न हिस्सों में बारिश और बाढ़ की स्थिति पर बातचीत की।
104,hi,"“स्वयंसेवकों को मेहनताना नहीं दिया जाने का कारण यह नहीं कि वे मूल्यहीन होते हैं, बल्कि यह है कि वे अमूल्य होते हैं. ”-शैरी एंडरसन"
105,hi,यहोवा के वादों पर विश्‍वास कीजिए
106,hi,हर बार ये …
107,hi,बोलने में सब्र ” दिखाइए ।
108,hi,सोसायटी ऑफ इंडियन ऑटोमोबाइल मैन्‍यूफैक्‍चरर्स (सियाम) इस ऑटो एक्‍सपो का आयोजन ऑटोमोटिव कम्‍पोनेंट मैन्‍यूफैक्‍चरर्स एसोसिएशन ऑफ इंडिया (एकमा) और कन्‍फेडरेशन ऑफ इंडियन इंडस्‍ट्री (सीआईओ) के साथ मिलकर कर रही है।
109,hi,’ वह चीख़ी।
110,hi,"उपराष्ट्रपति, श्री एम वेंकैया नायडू ने छात्रों से नकारात्मकता छोड़कर रचनात्‍मक दृष्टि विकसित करने का आग्रह किया है।"
111,hi,ऐसे में उसे अभी लंदन की जेल में दिन गुजरने होंगे.
112,hi,"यह ध्यान में रखते हुए कि फसल खंड जीवीए कंप्यूटेशन का एक प्रमुख घटक हैं, इसका प्रदर्शन बहुत महत्वपूर्ण है।"
113,hi,इन दोनों अवस्थाओं में आराम पहुंचाने के लिये आपका डाक्टर आप को दर्द नाशक अन्य दवाईयों का नुस्खा लिख कर दे सकता है या सर्जन या अन्य विशेषग्य से आप की सहायता करने को कह सकता है.
114,hi,सूचना प्रौद्योगिकी मंत्री प्रसाद ने हालांकि कहा कि सिर्फ एक चुनौती पेश करने के कारण सोशल मीडिया को प्रतिबंधित करना बुद्धिमानी नहीं होगी क्योंकि सोशल मीडिया आम आदमी की जानकारी बढ़ाकर और उसकी प्रश्न करने की क्षमता बढ़ाकर उसे सशक्त भी कर रहा है।
115,hi,डेटा अखंडता और सुरक्षा इलेक्ट्रॉनिक कॉमर्स के लिए बहुत गर्म और अहम मुद्दे हैं।
116,hi,’’ यही उक्ति उन्होंने आगे चलकर कई बार दोहराई।
117,hi,और (मुसलमानों) ये लोग ख़ुदा की क़सम खाएंगे फिर वह तुममें ही के हैं हालॉकि वह लोग तुममें के नहीं हैं मगर हैं ये लोग बुज़दिल हैं
118,hi,"’’ सोरेन ने कहा, ‘‘सभी के सहयोग से हम कोरोना को हरायेंगे।"
119,hi,उन्होंने अपने दोस्तों के साथ की फोटोज इंस्टाग्राम स्टोरी में शेयर की।
120,hi,मई 2011 से एफसीआरए प्रभावी
121,hi,"बीते बुधवार को गांव के रहने वाले दबंग सोनू, अभिषेक और देवेन्द्र ने दलित परिवार पर ताबड़तोड़ फायरिंग कर दी थी।"
122,hi,उच्च-तुंगता पर कीट जीवन इस मायने में भी अद्भुत है कि वहां बिना पंख के और न उड़ने वाले कीटों की प्रमुखता है.
123,hi,वह नि:संदेह सर्वश्रेष्ठ है।
124,hi,"UN में भारत ने पाक को लिया आड़े हाथ, कहा- आतंकवाद पर पाकिस्तानी मानसिकता में बदलाव जरूरी Description: भारत ने सुरक्षा परिषद से कहा है कि आतंकवाद पर पाकिस्तान की मानसिकता बदलने की जरूरत है। Times Now"
125,hi,यह मठ कुल्‍लू से 10 किमी
126,hi,"वह आज (11 दिसम्बर, 2012) विज्ञान भवन, नई दिल्ली में भारतीय उद्योग परिसंघ के सहयोग से कृषि मंत्रालय द्वारा आयोजित सार्वजनिक-निजी साझीदारी के माध्यम से भारतीय कृषि में दूसरी हरित क्रांति पर राष्ट्रीय सम्मेलन के उद्घाटन के अवसर पर बोल रहे थे।"
127,hi,बाद में इस रिपोर्ट को सोशल मीडिया में भी व्यापक रूप से प्रसारित किया गया।
