tweet	sentiment
@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! 	4
http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp; Mary  My fav, def.	4
shhhhhhhhhh....time to watch the Hills. 	4
since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. 	4
@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  	4
@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' 	4
Callin it a night! I always have the best sleep after a good workout!! 	4
@Infinitarchitek Feels pretty good doesn't it? 	4
@stee322 but you did go to hash bash anyway.. 	4
@loltothepower correction, i GOT a badass fringe. 	4
@procoder hmmm, sure sure  so what r u upto ? hows the day for u?	4
@ninasplayground I agree.  My kids got &quot;Who am I&quot; 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV	4
My hair is blue. 	4
@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night 	4
stressing over this math test...uhhh....2 days till spring break!!!! 	4
@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH 	4
@EMPRESSYEN WHATCHA CHUCKLIN BOUT MS.YEN 	4
@ijustine the gym is an awesome place! work it out 	4
@augustography hmmm think we need to get you climbing up hills .. you'll be really sining then 	4
Just won 20$ on unc game 	4
Really tired. Going to prepare for bed. G'night! 	4
@keyannaaa the new story of your life will include magic fountain with me 	4
Im getting nervous that this trip tomorrow may be a little boring. Haha oh well, i always have my trusty ipod and my books of course  lol	4
should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep 	4
@ijustine http://twitpic.com/1ff65 - I love ur top 	4
still buzzing from SIETAR... thanks to @pattidigh for pushing the old boundaries - boy, someone could make money off a twitter manual... 	4
@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. 	4
@juneaurock Hellz yeah, definitely downloading. Thanks 	4
http://twitpic.com/2y2jz - we are so stinkin cute 	4
@Lyndeeezy hahah not yet! but soon. very soon 	4
Very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! 	4
@michaelgrainger we have much more than that in common my friend!! 	4
@ben_mayer better be. I don't wanna have to come find u and save the dog. But I would!  I'm all 4 the animals . Call off the twit police	4
@klaris nilagyan mo ng knorr seasoning mix ulit ung pancakes mo?! hehehe. teka, heaven and eggs ba to? 	4
@Westneyrhindxx hello westney  what are you doing ?? x	4
@WhereisKevinn well my night seems pretty boring in comparison to the strokes you've experienced tonight 	4
@jephjacques I love the way you draw giraffe eyelashes. 	4
@SwitchItNow ahhh shiner Bock in Austin YES! thanks for the Twitter @reply so I can relive too 	4
@holytshirt Glad to read it! 	4
spent the evening outside in the beautiful warm weather. finally feels like spring 	4
pullin an all nighter wit my bffl madison 	4
@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! 	4
I don't know why I still find this hilarious after hearing it like 200 times in a row, but I doooo  ? http://blip.fm/~3x8ok	4
@thenub you are too 	4
@jimmycarr that big oaf can play piano? 	4
Bryon is my tea bitch 	4
@mattbraga Oh, they can stay. You on the other hand... 	4
I am gonna help my mom get a twitter 	4
@lavsmohan...... Yup!! saw the entire match....reached office late.. 	4
going to bed. My bb isn't working &amp; I'm bored.  Night all. Love me harder tomorrow, than you did today. Peace, Prayers, &amp; Blessings.	4
@DEEJAY_BOOGIE ya we did trying to beat traffic but ya hope to be back soon 	4
India wins a test series in New Zealand after 41 years! If it wasnt for rain on the final day, India would have won the third test too 	4
@ashvala Was driving in Old madras road on my bike!! There is no concept called parking on the side 	4
@upstatement can I apply to be in your class too? 	4
is reading manga  http://plurk.com/p/mzp1e	4
@BradmanTV Thanks....it seemed the right moment. I love your show.  Your songs bring me joy.	4
@Adri_Mane ROflmao... niqqa please. you ackin' a fool now. 	4
@comeagainjen http://twitpic.com/2y2lx - http://www.youtube.com/watch?v=zoGfqvh2ME8 	4
@vjl also, your website seems to be down, FYI. pity, I wanted to check it out  sure you knew that though.	4
@LindzNicole so let's make it right! 	4
@Lexi_83 We.... went professional in October 2008, we've just not update any of our websites or anything until yesterday 	4
@rhonda_brown thanks for the tip on Sam's Club! 	4
@KourtneyKardash yep Mornings are the Best! nighttime is chill time 	4
@pocketfulofme yay!!! hehe TWINS 	4
@jolilore Thank you 	4
&quot;City of Ember&quot; was AWESOME!!! SO have to finish the book and read the next one (ones?) now.  Time for bed possibly? Who knows, really. XD	4
OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good 	4
@trugiaz You and i mate! 	4
 just watched the movie Wanted... it was pretty darn good.	4
just got home from Neil's. watched Nick &amp; Nora's Playlist... pretty funny  	4
@theexclamation ah yes, twitter seems to be the perfect venue for whining and wasting time.  now that's my idea of fun 	4
@donniewahlberg hell yeah! there's the effin man! 	4
@roshnimo Dont be lazy............try a few out.... tools are to make life easy for lazy people 	4
@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai 	4
Thinks everyone needs to go buy Tina Parol's song Who's Got Your Money on iTunes ... NOW! 	4
can't wait for vegas 	4
@theDebbyRyan Hey Debby 	4
One sixty six in bowling. Holy shit lol 	4
dear dbq, you were a pain in the asssss. i'm glad i'm DONE with you! 	4
and now off to bed after an amazing night chatting with a pretty amazing guy  ( you know who you are)	4
@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? 	4
has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations 	4
Didn't get my nap before, thinking I really need one now. Be back later, twitterpeeps. 	4
Trying to figure out a way to pay it forward 	4
oh oh oh!!! gonna go buy Twilight on DVD today  I have to extend my overdraft for the 2nd time in as many weeks so I may aswell!!	4
my very first twitter  awww	4
@SimonBotes glad you like 	4
@lightblue_82 woo, you won't regret it. 	4
@theaptour thanks so much 	4
 Please?: http://eluts.com/frontstore/Item/item_zoom.asp?item_num=3418&amp;catalog_num=3&amp;mart_id=lutsdoll&amp;level=yes&amp;mother_catalog_num=554	4
@SJS86 haha i saw that one the other day. sad. i'm entirely too addicted to that site now. endless laughs 	4
@lolly2420 this is nuts! thanks  I am dying over heah!	4
@markhoppus hey mark, i want to know if the song &quot;Life's So Boring&quot; is really blink 182 , please tell me  doubt been on my head for years	4
@Kelly_N_Va by Jordan, I think he's got it!  	4
up and running, London calling 	4
What A Day  I Just Loved It. Sun, Food And My Girls  Cannot Be Beaten. Eyyy! I Bused It Home Tooo Hahaa. Have An Ace Time Darl.  xxxx	4
just got home from school (: meant to be getting my hair cut .. but i cbf. lol dancing soon 	4
Sleeeeeeeeeep, then an interview tomorrow! Wish me luck 	4
Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 	4
@lauredhel I just friended you on LJ 	4
eating ice cream to reduce the heat 	4
wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(;	4
@epistemographer @digitalhumanist Doing a disciplinary PhD with the support/structure of a New Media program like that sounds heavenly 	4
must sleep, big day tomorrow. two tests AND class registration for next sem. ahh! goodnight, twitterers 	4
@claire_brewer I've seen one of those aisles in Borders in Oxford. They're... well, tragic 	4
@thornbek Erin Esurance is so hot. Carry on 	4
@Boobookittifukk not there yet. And i beleive so  red carpet sighting i hope.	4
the cars in Fast and Furious get me excited 	4
@comeagainjen Jennifer 	4
@betzitall Wall-E is a great battle for stress.   Yay for staying up all night and doing homework together!	4
It's been a while since i have watched the Cosby Show, i forgot how funny it was  BUT CAN'T SLEEP THOUGH grrrrr	4
@landrew Hehe, thanks   Was going for the incendiary headline this time 	4
@honeytech Happy Morning! 	4
@SashaKane Um, my kids get up at 5am &amp; need their breakfasts cooked, you ready? 	4
@saad_83 I wasn't late  I was right on time	4
@myk14 Thanks buddy *high fives* hehe 	4
@sytycda Could not agree more!The unison&amp; committment was incredible.Considering the pressure they r under made it all the more amazing 	4
@cityrat59 lol! you counted 15 times! Yeah, it was a drag today...wasn't sure if my tweets were going out. seems to behave now though 	4
@comeagainjen http://twitpic.com/2y2lx - and you are cooler than her she just wants the babiiesss O_O HAHAHAHA 	4
@reesh heyyyyyy want to hook it up!! lol 	4
Saddle Ranch Comedy night. Then back to the boy's house 	4
Today I performed for the first and last time at the Grebel talent show. 4 exams left until undergrad is over 	4
@xShorty4Lifex white!! 	4
@thesouthernstar haha... sarapan aja belum kok, udah disamperin sama client di rumah...  	4
@JonathanRKnight  i do embrace the simple life.  simple things like a new kids reunion makes me an extremely happy girl 	4
@lapcat Need to send 'em to my accountant tomorrow. Oddly, I wasn't even referring to my taxes. Those are supporting evidence, though. 	4
@mmcallen Sigh, wish I could have a GMIC meeting here in San Diego! Spoke to Johanna already, she said it was great... 	4
had a wonderful Portland evening! Thanks Carrie 	4
6:37 in the morning and haven't been sleep   YAY!	4
Headed off to Wal*Mart for more boxes. Uber excited 	4
@axisportals scowls are a lot more temporary than adulthood 	4
I'm melting. *sighs* Serendipity is such a sweet sweet movie. I love it. 	4
@JonathanRKnight wake up with ah Jon tweet. The Best start for my day  thx Jon love You	4
Got an inspiration -&gt; dyeing my hair! 	4
just  created this account...looking around 	4
@amyg0716 I'm gunnna do both of those things 	4
http://twitpic.com/2y2tq - So far, it is interesting. 	4
Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!	4
@craigsutton     that's a long-time, good for you!   	4
(@thuquoc) jizzin' in my pants excited about seeing ARMIN VAN BUUREN tomorrow 	4
@mehulbhuva Good luck, and let me know how it goes! 	4
@tayswift Congrats from Peru! You were/are amazing! i was speechless,thank u so much! come here someday plz, ill wait forever seriously! 	4
@rogieking Congrats on the newborn! Our first is due in June 	4
Dodgers beat the Padres  Go Blue!	4
@jbruin lol esp when your updates hit my phone... 	4
@JonathanRKnight I'm just glad you appreciate Iowa.    Come back in late summer when they're cutting hay...  best..smell.. EVER!	4
@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!	4
@vuittonretarded  awww. Is there anything i can do 	4
But I do not mind.  Goodnight	4
@mistressathenax oh lets let it be a surprise. 	4
Proud future member of the R.B. 	4
@miss_tattoo heyy!  you got those pictures of Donnie's gift on the USB stick?! 	4
Giant Drag &quot;Wicked Game&quot; ? http://twt.fm/32811 #musicmonday - Better than the original &amp; the commercial promo song for Nip/Tuck season 5! 	4
@web20classroom Fabulous post about WordAhead!  And overall loved your blog.	4
Much Luv to @espressowoman54 &amp; @tommyruffin who's now following me on twitter!! 	4
@KendallMassey @jclayville rocks. But don't tell her I said that 	4
@Gerry_Butler If it's something you will enjoy and will make you happy, why not do it? 	4
just discovered tonight that her church is serving breakfast on Easter!  (I'm not sure why this is so exciting, but I suspect the baby...)	4
@Tiandrance 	4
@yoavsegal Morning 	4
finally back on twitter 	4
God sho love him some me  feeling really really blessed tonight++++++	4
@adamdexter i can't wait to see you buddy 	4
@allan_at_rogue thanks Allan! They are photos from a Joolz Soiree I held up in Brisbane last year 	4
there is link about how to enjoy dark chocolate within the post..  http://chai-coffee.blogspot.com/2009/04/chocolate-flavoured-math.html	4
@chazdrums if i know how to do something, and have time... Its so easy to answer 	4
Wow, the house looks so different...AND OH MY GOD MY DOGGIES 	4
ahhh loved this sunny day....I am working a good sun burn on my nose 	4
@FoamingBBQ I had to read it last semester.  By &quot;read&quot; I mean skim for keywords and read online outlines.   Got an A too 	4
@dalecruse Yay! Love Box.net  My first business partner Sam Ghods is on the founding team. SO proud of him 4 building an excellent utility	4
@JonathanRKnight Glad to hear that you had such a great night! You rock &amp; I hope tonight is just the 1st of many feel good shows for you! 	4
Anyone else catch Scott Bakula's &quot;Oh Boy&quot; in #Chuck tonight?  	4
@fatbellybella the media is a trip [period] we have to guard our minds...along with our hearts. Don't fret ms.badu UR THE BEST!! its true 	4
Ahh, the tedium of fixing broken file links in Inventor.  Good times.  	4
@theDebbyRyan  where!!?!? 	4
@Laatina MONDAYS ARE WHAT YOU MAKE OF IT. 	4
Well in the past two days I have had 45 min. of sleep.  I'm going to watch TV while laying in bed and try to sleep.. Night peepers 	4
I'm officially going to bed! Goodnight 	4
I now have painting clothes!   	4
@msaleem LOL not yet my brutha from anotha mutha 	4
ryanrossfanz  &lt;-- FOLLOW THEM!  Ryan is uber!	4
@JonathanRKnight you close your eyes and pick one and hit reply. 	4
@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more 	4
@QUEENIE909 hum nice 1! lol take something..LOL yeah party over there, haha u kno them drunk ass's  Will i b seeing you @ Janets party??	4
#nightcard The Star: what a wonderful card for a new beginning both for you and Ankie 1.0  Welcome! 	4
Loves the German bakeries in Sydney. Together with my imported honey it feels like home 	4
I'm an uncle now! 	4
@katiehayes415 Levon...couldn't have said it better my self.  	4
@dmf71 I should change my name to qoosfr (queen of obscure science fiction references) instead of cbn2, which only 1 person understands. 	4
@DolfinFan  Our picnic will be fabulous!	4
@DaveJMatthews Welcome back to NYC! 	4
@nashipear Sorry I am talking to my best friend.. So I havent replied!!  But I can talk to you too!	4
@corinmcblide oh ok then i am gonna go and buy one for when i come up there 	4
tafe quiz then PHOTOSHOOT with my sezdawg 	4
@berofx: good luck with your challenge 	4
oh oh found some clothes!!  And i love em xD	4
Rocking out to No Doubt and gonna start up some more Neverwinter Nights 	4
@kameelahwrites phew! all that hair, gyal! 	4
keepin it real.  	4
&lt;------ Branded 	4
I'm adding my fellow PFers.  Nice to see so many of us here, too! 	4
Had a good time at Eat n Park drinking a latte and playing Munchkin Impossible with @Chriswolfe2007. 	4
@momentbymoment1 - I'm sure you and your site will! 	4
@JonathanRKnight Good luck with the cruise!! Your gonna need it! 	4
@glutenfreegirl  well, I'm doing whatever our neighbor tells us, and if that produces vegetables, I'm cooking them!	4
@milagro88 Hi there, Cel.  How are you doing today?	4
@Chubbx Goooooood morning, Chubbx  how are you today?	4
@BrittyDS Don't blame me.  I just like good things. ;)	4
@darkknight808 okay! I think little oven again on wednesday!  7-9pm?	4
@LoriGama that's most excellent  lotsa people loving you hehe *Winks*	4
@jia_zhen it's an odd little thing isn't it, 'is it from another planet?'.... but i think i like it 	4
amidst all these recession talks, my friend told me yesterday that she got a pay hike  it sure is a nice to hear that.	4
is now using windows and tweetdeck... temporarily... 	4
I Joined ShoeDazzle Society by @KimKardashian I am Excited! Can't wait for my Shoe selection!  Link: http://www.shoedazzle.com/	4
@robgokeemusic I know - I should have made some, taken them to my meetings &amp; I should have foreseen my sister was going 2 pick up a stray 	4
@JonathanRKnight you can DIRECT MESSAGE us/me/all of us...whatever you want 	4
@mars2thestars here it is  http://tinyurl.com/hecklerxyz	4
Week 2 of the fitness challenge and I'm starting off strong.  Just submitted my stats for the night and it ain't bad 	4
Your Following for a Reason.....  www.facesbyrozzj.com	4
I missed twitter, ym, multiply and PET SOCIETY. I haven't been able to use the internet because I was quite busy for the past few days. 	4
@mileycyrus Juz watchin' 3 eps. of your show HM, I must say I instantly became a fan of urs! ;D Lovin' ur humor so mucho! More power 2 u! 	4
I have a new background  It didn't exactly work how I wanted but I was bored with the old one.	4
If you are at #Paragon please vote my work!  LOL	4
@mrskutcher I keep forgetting you are in a different time zone than normal! I see your 'tweets' about the morning when it's 10:45pm here! 	4
@mantia Do you have an example of the animation? I mean a youtube video or something? I'm curious to see it work. Snowing there too? 	4
@TheRudeTypist Need an invite to hunch? 	4
@JonathanRKnight Thought you were a Mac 	4
@JonathanRKnight Maybe Jordan could help you answer a few? Just an idea.. 	4
Finally made my map of Panama. &quot;What's a Panama, is that like an animal?&quot; Haha love my friends 	4
@ManyaS 	4
@ddlovato I will gladly give you the squirrel in Jenny's house if you join us. A SQUIRREL. It'll kill two birds with one stone! 	4
Got the vocals done! now time for the best part: the music track or bed! whichever you wanna call it lol 	4
will be part of my friend's wedding entourage. In Tagalog, abay sa kasal. I'll be carrying the veil. Thanks, Mau. 	4
@Bern_morley it's the weather, petal. don't sweat it ... oh ...  ... sorry ... 	4
@dfizzy Hey There ! How are you today? 	4
Whoops, sorry to anyone trying to email me earlier today. My inbox was full but should now be empty 	4
@chocolate_dip lol i wasnt complaining just making sure @yoeyfreshier wasnt getting off before me but @tivon cleared that up 	4
@mademoiselledee That is one freaky movie. I like &quot;I got life&quot; 	4
Megan is hanging out 	4
Going to bed and then up early to prep for an interview in Cleveland tomorrow 	4
A healthy remedy for you AND your dog  http://PetParenthood.blogspot.com #dogs	4
That was sick. Soma rocks. 	4
@staceysoleil  yep..lol  I was bored... Edward is hunting with the guys..	4
@victoriaerin HEYYYYYYYYYYY YOU 	4
Studying philosophy and math... &lt;----BLAH aka listening to music and on twitter, facebook, and myspace 	4
@JonathanRKnight There is no way on earth that you can answer everyone  Will you ask Donnie if he got the gift from my 9 yr old lastnight?	4
on my psp browser for the first time in over a year 	4
@aparajuli good luck to you 	4
Is glad the Angels won their first game of the season. 	4
@misstoriblack I have absolutely no doubt that I will!  here's to your continued success 	4
Another day in the office... 2 days to go.  http://twitpic.com/2y2y1	4
@mattimassacre nice  yeah so wish I could afford those things	4
@loic I want to see that too! But it'll take so long to get 800 friends.. 	4
Uploading the greatest cartoon from the Newspaper ever - regarding Twitter. 	4
@levimorales glad you liked! That Henry Ford had a good idea every now and then, didn't he? 	4
Studying with friends!  that's my update	4
@piercethevic im glad everythings going good for you guys 	4
@JonathanRKnight Don't worry about it, we are just happy to have you on here! 	4
@suplada I'll get those stuff fr the UK/Japan. If I'm desperate enough for headphones from the US, I might do JAC. My tita can be slow. 	4
@eddieizzard You wouldn't happen to still be in NYC doing gigs on Friday or Saturday next week? 	4
ty  @GR8FL - soon I upload too  Emmylou Harris � I'll Be Your Baby Tonight (GR8FL)  ? http://blip.fm/~3x8zc	4
cheeck thiss hand cuz im marvelous ;) boy.. idk hoow im gona make it threw this weeeek 	4
Watching Seven Pounds with my mom. I hope i dont fall asleep. AfterMidnightProject TOMORROW! 	4
@jennmae awesome.  home from work around 430, and then have to take the puppy out, then to Capones. 	4
@nerdist  That photo IS Vegas 	4
@elissakim  yeah!  opening day too!	4
@iamdiddy I feel you I hate working out too! But our results will be MAJOR! When you look good you feel good! 	4
@fmsQuatro the A's are my AL team 	4
had a really good day    off to do some shoppping	4
@kamy775 ok..I did it...hope it works now 	4
@amp451 good night  sweet dreamz	4
@i140 I hope that Scentsational doesn't get dissed 	4
will invite people to twitter. 	4
@bluestreak23 @jasonandjodie Coming soon enough my friends - Big project in works for just that - Good new and only good news 	4
@cookrn woohoo!  yeah that day i was rockin it hard core  	4
@JonathanRKnight Hey Jon we all love ya and understand,that's all it counts  	4
@imalcolmjames no internship yet but ive got a place to stay. w/ any luck i'll spend some time in teaneck before heading back to utah 	4
If I can make it to bed without running into a wall or tripping over my own feet, that is. Heh. 	4
@mayhemstudios Yes, using it for 3 week now. Pretty happy with the result 	4
@larryczerwonka Exactly!! 	4
i wonder how long i can stay up until i pass out and wake up again at 6 	4
@DonnieWahlberg Great words of wisdom D-Dub!! Now can you tell the doctor to let me have some alcohol &amp; caffeine!! 	4
@Jonathanrknight so good knight and sleep well.  I know I will now!! 	4
exhausted! but glad i got to see UNC become national champs!  	4
Centrelink wasnt as bad as I thought it was going to be !!!! 	4
@davesjessica wouldn't want you any other way! 	4
Is hella excited cuz the Italian is here 	4
Love having access to a research machine with 4 quad core 64 bit opterons, and 60 gigs of ram 	4
It was quick, but exhausting. 1 day @ a time 	4
Jasmine and Bohdi are here for the holidays!! 	4
@pfspleen I'm good! Had some very strange dreams last night but hey dreamin' means i'm sleepin'  How's you this morning?	4
going outside to jump on my trampoine  WOOOT!	4
@SophieVeronica today was rad. we made it into the finals for cross country YAY. love you sophie &lt;3 (L) ps everythins cool with my mates 	4
@HuntersMama1985 LOL, I was thinking the same thing 	4
@JonathanRKnight Don't feel pressured, none of us EXPECT a reply back, we're just happy to be able to listen to you talk  	4
@Suai Oh &quot;Shooter&quot; is a good movie!  Only seen it once tho.  Gotta put that back on my &quot;to watch&quot; list! 	4
@DonnieWahlberg I can tell u have spoken. FB &amp; Twitter are on Fire right now!!  Hope ur feelin better love.  have a great night...	4
@KourtneyKardash i hate morn workouts bc i love to sleep late  ha have fun in mexico! love the show, is the trip gonna air on keeping up?	4
i'm feeling somewhat artistic...time to break out the sketching pad, i feel a new dress design coming 	4
@ma_shinka go on, Mary's listening 	4
@TheAshBall 	4
nodame cantabile is &lt;3. I think I'm falling in love with classical music. 	4
...so i just ordered my copy of Hardcore Underground 3  love me, love me! Canary in skinny jeans going balls deep.	4
@markegli &amp; @kariegli the dinner menu this week is something pasta-y (we have cheese?) and also chicken noodle soup. 	4
new jersey, here i come 	4
on facebook 	4
@Vonster good point, 2 draw  2 don't  nice quote though. I like that.	4
@Croconaw goodnight 	4
@danielkirkley Lead Me To The Cross is one of my favorites!! Great job, D!!! 	4
just got back from starbucks.. tried the tea with lemonade very good  miss gg already. 1st one!	4
BOOM BOOM POW-oops 	4
The Super Red Diva !!!  Stupid University 	4
This latest episode of NewNowNext is like full of awesome! 	4
When you just want things to end, remember to have faith because one day, it's all going to be alright 	4
@ PBnJen : Thanks for the great tour and making me even more excited to work in PR!  You Rock and so does S&amp;B-would love to work there!	4
@DonnieWahlberg YOU give me joy....and you have for years. You are such an amazing man and we are all lucky to know you. 	4
@tothepc Did you check out http://www.weboword.com We aren't a dictionary, but we are all about Visual Vocabulary!  Come have fun.	4
Artistic affirmation from a drunk lady was kinda just what I needed! 	4
@Honey3223  Honey goodnight I am up really early in the morning busy day will catch up with you later tomorrow 	4
A je kak�en rip od Trenutek resnice? Link, link, link 	4
Lamb Chowmein for dinner tonight.... hhhmmm with slightly roasted buttered dinner rolls! YUM YUM YUM... so hungry 	4
tweeting from my brand new Sony PSP... just because I CAN!!  	4
@MussoMitchel Hey you should go on tour sometime with your brother! Metro Station is freakin awesome! 	4
well tweeps, im off, i gotta have a shower then go get a haircut. good bye everyone 	4
@juliaroy I've just seen your Flickr and I've fallen in love!!! Just Wonderful!!! Awesome... !!! 	4
@danielc Sorry it wasn't Wrath of Khan.  But we made do. 	4
juggernaut, dr. doom, magneto, &amp; xavier!  ahahah today was a good day n__n	4
@ricardooooo we'll have a geek off next time you are in Tahoe!! But you need to get miss vicky jay reciting star wars by then 	4
aww dont make me blush!	4
trying to figure this thing out 	4
watching &quot;The Princess Bride&quot; I want a Wesley!!! 	4
@lisaholmes you can buy my fiances duplex in Terwillegar 	4
@apleaforaaron i could really eat some cheese  i have a hankering for some austrian smoked cheese. YUM!	4
@ddlovato I am so FUCKING jealous of you girl. Have fun though  xxx	4
@ThaStevieG my bunnys name was Lucy  you can go ahead and guess who she was named after lmao	4
@pixelpipe any updates for iPhone OS 3.0 yet? I miss you guys 	4
Denise, I love you. 	4
@ricardooooo we'll have a geek off next time you are in Tahoe!! But you need to get miss vicky jay reciting star wars by then 	4