InvoiceDate,Make,CountryName,IsDealer,SalePrice,CostPrice,TotalDiscount,DeliveryCharge,SpareParts,LaborCost,ClientName,Model,Color,ReportingYear,ReportingMonth,Registration_Date,VehicleType,InvoiceNumber,CountryISOCode,OuterPostode,Region
2013-09-02,Jaguar,United Kingdom,,39500,62000,150.0,50,250,250,Honest John,XK,Silver,2013,9,2005-09-20,Coupe,5137D59A-DA09-4A3B-BCD6-747921A844B3,GBR,EC,Greater London Authority
2013-10-02,Jaguar,United Kingdom,,39500,25700,150.0,50,250,250,Honest John,XJ6,Silver,2013,10,2005-09-20,Saloon,B02D0457-277A-4AAA-A4DA-66AB79F7F570,GBR,EC,Greater London Authority
2013-11-02,Jaguar,United Kingdom,,41250,62000,150.0,50,400,250,Bright Orange,XK,Blue,2013,11,2005-09-20,Saloon,9F2C709E-CECC-4141-8DCA-C2FC5CFB3B7D,GBR,B,West Midlands
2013-12-02,Jaguar,United Kingdom,,41250,62000,150.0,50,400,250,Cut'n'Shut,XK,Blue,2013,12,2005-09-20,Saloon,8AC5C89B-C5F7-4227-BCBF-9507801831F4,GBR,M,North West
2013-01-02,MGB,United Kingdom,,39500,4500,150.0,50,400,325,Wheels'R'Us,GT,Green,2013,1,2005-09-20,Coupe,92BB975F-1223-4131-BF48-4F402261BA0F,GBR,NE,Greater London Authority
2013-02-02,MGB,United Kingdom,,39500,8500,150.0,50,250,325,Olde Englande,GT,Green,2013,2,1974-09-20,Convertible,B7EB96BD-62CE-4BCE-8828-610229EB26F2,GBR,TF,West Midlands
2013-03-02,MGB,United Kingdom,,25250,4500,150.0,50,250,325,Wheels'R'Us,GT,Red,2013,3,1974-09-20,Coupe,77E4444F-E91E-4E7C-9324-E448339F848B,GBR,NE,Greater London Authority
2013-04-02,MGB,United Kingdom,,22500,8500,150.0,50,250,325,Wheels'R'Us,GT,Red,2013,4,1976-09-20,Coupe,C1F886B9-6908-4780-82C2-B40ED307CA9F,GBR,NE,Greater London Authority
2013-05-02,MGB,United Kingdom,,22500,4500,150.0,50,250,325,Cut'n'Shut,GT,Red,2013,5,1976-09-20,Convertible,60CD0843-02FF-4BB5-8346-BA030DB5B830,GBR,M,North West
2013-06-02,MGB,United Kingdom,,22500,8500,150.0,50,250,325,Cut'n'Shut,GT,Red,2013,6,1974-09-20,Coupe,684718A8-C01B-42B4-BA30-546C5001DF0C,GBR,M,North West
2013-07-02,MGB,United Kingdom,,25250,4500,150.0,50,400,325,Bright Orange,GT,Blue,2013,7,1974-09-20,Coupe,12AFCC59-3EA3-423C-A56C-F1720C4D4493,GBR,B,West Midlands
2013-08-02,MGB,United Kingdom,,22500,8500,150.0,50,400,325,Honest John,GT,Green,2013,8,1974-09-20,Coupe,E7AF61FD-BB13-4D57-A554-693D38260148,GBR,EC,Greater London Authority
2013-09-02,MGB,United Kingdom,,25250,4500,150.0,50,250,325,Aldo Motors,GT,Silver,2013,9,1974-09-20,Convertible,20E1FF68-E9BB-43FE-95D2-AB80B35216A4,GBR,ST,East Midlands
2013-10-02,MGB,United Kingdom,,22500,8500,150.0,50,400,325,Honest John,GT,Canary Yellow,2013,10,1976-09-20,Coupe,058BE5CF-12DA-461C-9F06-85064446428F,GBR,EC,Greater London Authority
2013-11-02,MGB,United Kingdom,,25250,4500,150.0,50,400,325,Bright Orange,GT,Night Blue,2013,11,1976-09-20,Coupe,614306A4-5691-4CFF-AB6B-D292AC244D36,GBR,B,West Midlands
2013-12-02,MGB,United Kingdom,,22500,4500,150.0,50,250,325,Aldo Motors,GT,British Racing Green,2013,12,1976-09-20,Coupe,7B98A98B-C561-4CAE-AC04-34C03D294358,GBR,ST,East Midlands
2013-01-02,Triumph,United Kingdom,,22500,8500,150.0,50,250,325,Luxury Rentals,TR4,Black,2013,1,1974-09-20,Coupe,5B4A90E9-51E4-4B4B-BBDF-E52AEE7CCB3F,GBR,GL,South West
2013-02-02,Triumph,United Kingdom,,25250,17000,150.0,50,250,325,Smooth Riders,TR5,Dark Purple,2013,2,1974-09-20,Coupe,80464E2B-55B5-448F-9605-0E69A4A4CE83,GBR,,West Midlands
2013-03-02,Triumph,United Kingdom,,22500,8500,150.0,50,400,325,Honest John,TR7,British Racing Green,2013,3,1978-09-20,Coupe,F7131994-57EE-42F2-A5DC-54E520AD0D1E,GBR,EC,Greater London Authority
2013-04-02,Triumph,United Kingdom,,22500,17000,150.0,50,400,325,Impressive Wheels,TR4,Night Blue,2013,4,1976-09-20,Coupe,C1BF5233-1F55-4872-B3C5-EBD309E14FE0,GBR,L,North West
2013-05-02,Triumph,United Kingdom,,22500,8500,150.0,50,400,325,Bright Orange,TR4,Canary Yellow,2013,5,1976-09-20,Coupe,CA859D0B-4B26-48C0-80C6-A7416D1F51BE,GBR,B,West Midlands
2013-06-02,Triumph,Spain,,22500,17000,150.0,50,250,325,Costa Del Speed,TR5,Canary Yellow,2013,6,1976-09-20,Coupe,6C346A89-610B-483F-8D25-E0CECC0850D4,ESP,,
2013-07-02,Triumph,United Kingdom,,25250,17000,150.0,50,400,325,Cut'n'Shut,TR5,Blue,2013,7,1974-09-20,Coupe,8FC76E1E-8667-44A9-9C96-9C7912B6340F,GBR,M,North West
2013-08-02,Triumph,United Kingdom,,22500,17000,150.0,50,50,325,Wheels'R'Us,TR4,Blue,2013,8,1974-09-20,Coupe,47B85C1A-44CB-41F5-9DC3-77E81AC28FE9,GBR,NE,Greater London Authority
2013-09-02,Triumph,United Kingdom,,25250,17000,150.0,50,400,325,Olde Englande,TR4,Red,2013,9,1974-09-20,Coupe,E17FFB1D-F36A-4665-82F2-2A9D59D33FFD,GBR,TF,West Midlands
2013-10-02,Triumph,United Kingdom,,25250,17000,150.0,50,50,325,Impressive Wheels,TR7,Red,2013,10,1978-09-20,Coupe,44820EB9-661F-4C31-B30E-72BC6D6084DE,GBR,L,North West
2013-11-02,Triumph,United Kingdom,,25250,17000,150.0,50,75,325,Cut'n'Shut,TR4,Green,2013,11,1974-09-20,Coupe,A96A899A-B4FE-47BB-822C-E4DCC45F4278,GBR,M,North West
2013-12-02,Triumph,United Kingdom,,25250,17000,150.0,50,150,450,Bright Orange,TR5,Silver,2013,12,2005-09-20,Coupe,A53C046D-FA1C-4B4D-8AA8-CB588F53F3B9,GBR,B,West Midlands
2013-01-09,Aston Martin,France,,74500,31125,500.0,975,895,1250,Chateau Moi,DB7,Red,2013,1,2007-04-05,Convertible,311AA133-E929-47E6-9EB9-C39987FD01A5,FRA,,
2013-01-10,Aston Martin,France,,69250,17500,1250.0,975,750,1250,Vive la Vitesse!,DB7,Blue,2013,1,2005-04-05,Coupe,6D5EC6A1-547E-4821-9735-EF276C075D6B,FRA,,
2013-02-11,Aston Martin,France,,22750,22500,500.0,975,895,950,Carosse Des Papes,Vantage,Green,2013,2,2007-04-05,Coupe,78273430-FD2E-4E06-847C-6E3B1165FDD7,FRA,,
2013-03-12,Aston Martin,Switzerland,,37000,17500,1000.0,975,895,1250,Three Country Cars,Vantage,Silver,2013,3,2007-04-05,Convertible,1724CF9B-8103-4369-B246-324ED51CDFFD,CHE,,
2013-03-13,Rolls Royce,Switzerland,,74500,31125,750.0,975,895,1250,Jungfrau,Camargue,Canary Yellow,2013,3,2003-04-05,Coupe,144FB986-F9E1-4BD0-89F2-D69E1394DDC9,CHE,,
2013-03-14,Aston Martin,France,,45800,17500,1000.0,975,500,950,Chateau Moi,DB7,Night Blue,2013,3,2005-04-05,Coupe,E027A469-FDDE-4D3E-B8A8-238F18645E21,FRA,,
2013-04-15,Rolls Royce,France,,22750,22500,2500.0,350,895,1250,Vive la Vitesse!,Camargue,Black,2013,4,2007-04-05,Saloon,A454608F-9975-4DEA-B9F4-BCBE8CD86985,FRA,,
2013-04-16,Aston Martin,France,,45800,17500,1250.0,350,500,1250,Carosse Des Papes,Vantage,Red,2013,4,2007-04-05,Coupe,C41A9EFE-E0AB-4C13-BAAD-ADD268CA40A4,FRA,,
2013-05-17,Aston Martin,Switzerland,,37000,17500,1000.0,350,895,1250,Three Country Cars,DB7,Blue,2013,5,2007-04-05,Convertible,0A0283AC-6950-4A9E-95F9-2F3AD6083657,CHE,,
2013-05-18,Aston Martin,Switzerland,,45800,17500,500.0,975,750,1250,Jungfrau,Vantage,Green,2013,5,2007-04-05,Coupe,DEBD3964-B01C-416C-AD70-2D2898CABD38,CHE,,
2013-05-19,Aston Martin,France,,37690,22500,1000.0,975,895,950,Chateau Moi,DB7,Silver,2013,5,2009-04-05,Convertible,E3EBBF63-ABF3-4A0D-87A1-8105FAFA96D2,FRA,,
2013-06-20,Aston Martin,France,,74500,17500,2500.0,975,500,1250,Vive la Vitesse!,Vantage,Canary Yellow,2013,6,2007-04-05,Coupe,A3CC4CA4-9AE1-472C-8C38-7127C38BCE9E,FRA,,
2013-07-21,Rolls Royce,France,,45800,17500,1250.0,975,895,1250,Carosse Des Papes,Camargue,Night Blue,2013,7,2010-04-05,Saloon,B2B8A324-C314-413B-AA67-C16DB117869C,FRA,,
2013-07-22,Aston Martin,Switzerland,,37000,22500,1000.0,275,500,1250,Three Country Cars,DB7,Black,2013,7,2007-04-05,Coupe,1D54E7EB-71B2-4120-8C0A-D42067CA6410,CHE,,
2013-09-23,Aston Martin,Switzerland,,37690,17500,1250.0,275,500,1250,Jungfrau,DB9,Red,2013,9,2003-04-05,Coupe,B4946B66-C622-4E4E-B97F-B1843C0E4E36,CHE,,
2013-10-24,Rolls Royce,Switzerland,,69250,17500,500.0,275,895,950,Jungfrau,Camargue,Blue,2013,10,2007-04-05,Saloon,2E9F0A8B-A970-4348-A424-F031AD4A1183,CHE,,
2013-11-25,Aston Martin,France,,37690,31125,1000.0,975,895,1250,Vive la Vitesse!,DB9,Green,2013,11,2007-04-05,Coupe,B9738540-3387-46C6-9632-D7A4F37AAE86,FRA,,
2013-11-26,Aston Martin,Switzerland,,74500,17500,750.0,975,750,1250,Jungfrau,DB7,Silver,2013,11,2003-04-05,Coupe,68511F9F-9C12-4085-8D80-6627674F3F3F,CHE,,
2013-11-27,Aston Martin,France,,37690,17500,500.0,975,895,1250,Carosse Des Papes,DB9,Canary Yellow,2013,11,2001-04-05,Convertible,4D4E5593-7DAA-4FFF-A493-2FF65C4625A1,FRA,,
2014-10-04,Rolls Royce,United Kingdom,,97750,55000,550.0,725,500,750,Aldo Motors,Camargue,Silver,2014,10,1985-01-08,Saloon,EEA0564E-985F-4DDF-9928-9DF9B3FA2EC0,GBR,ST,East Midlands
2014-01-01,Aston Martin,United Kingdom,,122750,80000,50.0,1475,600,550,Honest John,DBS,Blue,2014,1,2007-05-09,Coupe,A98E92AE-9623-4606-9665-D00866DA877A,GBR,EC,Greater London Authority
2014-02-02,Rolls Royce,United Kingdom,,90750,80000,800.0,975,750,550,Bright Orange,Silver Ghost,Green,2014,2,2006-09-08,Saloon,B2F55654-2FC2-49D5-80D8-27439BE9890C,GBR,B,West Midlands
2014-03-03,Rolls Royce,United Kingdom,,91750,93000,50.0,975,85,550,Honest John,Silver Ghost,Blue,2014,3,1987-01-05,Saloon,5E2BCC2F-4044-449F-8824-FFF812EA3BFE,GBR,EC,Greater London Authority
2014-04-04,Rolls Royce,United Kingdom,,94750,67000,50.0,1475,2500,550,Wheels'R'Us,Camargue,Silver,2014,4,1985-01-08,Saloon,D7B2F76B-6B74-4252-A5A0-A07D0C96B630,GBR,NE,Greater London Authority
2014-05-04,Rolls Royce,United Kingdom,,105250,130000,50.0,975,4000,550,Cut'n'Shut,Camargue,British Racing Green,2014,5,1986-05-06,Saloon,49CD29CD-9D4A-4637-9103-8BB1FBF7B5E2,GBR,M,North West
2014-06-04,Aston Martin,United Kingdom,,112750,61000,800.0,475,900,550,Bright Orange,DBS,Dark Purple,2014,6,1991-08-09,Coupe,F180BFB6-F100-4508-908A-948600DD1735,GBR,B,West Midlands
2014-07-04,Aston Martin,France,,127750,28500,2550.0,975,900,550,Les Arnaqueurs,DB7,Red,2014,7,1992-05-08,Coupe,7A48D828-795B-49DE-AD0E-8CA679EF3642,FRA,,
2014-08-04,Aston Martin,United Kingdom,,132750,20500,50.0,975,900,750,Aldo Motors,DB9,Blue,2014,8,2005-09-08,Coupe,7F72639D-CAB0-4D99-8A76-5371AB487D5A,GBR,ST,East Midlands
2014-09-04,Aston Martin,United Kingdom,,77750,80890,50.0,975,750,750,Aldo Motors,DB9,Silver,2014,9,1993-05-08,Coupe,DC912AA2-2F05-46C4-B330-428B49C50A4F,GBR,ST,East Midlands
2014-11-04,Aston Martin,France,,71250,104000,50.0,1475,750,750,Les Arnaqueurs,DB4,Night Blue,2014,11,1975-05-06,Coupe,DE422C96-B725-42A0-8219-0520376C35E2,FRA,,
2014-11-04,Aston Martin,United Kingdom,,97750,130000,50.0,1475,750,750,Wheels'R'Us,Vantage,Canary Yellow,2014,11,1985-01-15,Coupe,ECBD4A79-6E5A-41DA-9B18-3E0E88352301,GBR,NE,Greater London Authority
2014-12-04,Aston Martin,United Kingdom,,157750,130000,5050.0,1475,600,750,Bright Orange,Vanquish,Silver,2014,12,1979-03-29,Coupe,3FF3174D-17CD-46A6-864E-1ED25903CAB7,GBR,B,West Midlands
2014-12-04,Aston Martin,United Kingdom,,97750,160000,50.0,1475,600,570,Cut'n'Shut,Rapide,Black,2014,12,2004-09-08,Coupe,50ED522E-4C09-4EA6-A38E-B53EB810FF28,GBR,M,North West
2015-01-02,Aston Martin,France,,181250,130000,50.0,1725,600,570,Les Arnaqueurs,Zagato,British Racing Green,2015,1,1994-06-04,Coupe,79203209-7C00-4161-918E-9BCC9BC0D6E1,FRA,,
2015-02-02,Rolls Royce,United Kingdom,,132750,67000,50.0,1725,600,570,Wheels'R'Us,Silver Ghost,Silver,2015,2,2006-09-08,Saloon,C8BE0F19-9213-4CA4-9437-8B04F4045241,GBR,NE,Greater London Authority
2015-03-02,Rolls Royce,United Kingdom,,181250,67000,50.0,965,600,654,Cut'n'Shut,Wraith,Silver,2015,3,2000-09-01,Saloon,281C5FDB-4059-44EB-98C6-B14BA525B02D,GBR,M,North West
2015-04-02,Rolls Royce,United Kingdom,,112750,80890,50.0,475,600,987,Bright Orange,Silver Ghost,Green,2015,4,1997-05-10,Saloon,A593F4E4-6896-4E3F-AF79-8893570B664D,GBR,B,West Midlands
2015-05-02,Rolls Royce,United Kingdom,,132750,67000,1000.0,1725,600,654,Honest John,Camargue,Black,2015,5,2001-09-01,Saloon,7D326B72-AE3A-4CB0-BC91-755F41FF36FB,GBR,EC,Greater London Authority
2015-06-02,Rolls Royce,United Kingdom,,181250,80890,50.0,1725,450,321,Aldo Motors,Silver Shadow,Red,2015,6,2005-06-08,Saloon,060D5372-25A5-4BF8-9C09-7A584D0D15D6,GBR,ST,East Midlands
2015-07-02,Rolls Royce,United Kingdom,,112750,67000,1800.0,475,400,951,Aldo Motors,Silver Seraph,Red,2015,7,1999-01-01,Saloon,FA2F9AC6-6B92-4CA5-802F-49741C005228,GBR,ST,East Midlands
2015-08-02,Rolls Royce,United Kingdom,,105250,67000,50.0,975,400,987,Honest John,Silver Ghost,Black,2015,8,2001-05-05,Saloon,CF0E6787-B142-4F47-A5B5-39851CA27D5C,GBR,EC,Greater London Authority
2015-09-02,Rolls Royce,United Kingdom,,132750,67000,50.0,425,400,750,Bright Orange,Silver Shadow,British Racing Green,2015,9,1985-01-08,Saloon,2258F436-7E4E-4E86-9C0E-661095D3D3A5,GBR,B,West Midlands
2015-10-02,Rolls Royce,United Kingdom,,181250,80890,50.0,1725,200,654,Wheels'R'Us,Camargue,Dark Purple,2015,10,2006-05-04,Saloon,A377536F-D480-4D3F-9332-C2582419E95D,GBR,NE,Greater London Authority
2015-11-02,Rolls Royce,United Kingdom,,181250,80890,800.0,1725,200,987,Cut'n'Shut,Silver Seraph,Black,2015,11,1997-06-01,Saloon,B26FC002-1229-45FA-AB18-1D4E36AA1001,GBR,M,North West
2015-12-02,Rolls Royce,United Kingdom,,132750,80890,50.0,1725,300,321,Wheels'R'Us,Silver Ghost,Red,2015,12,1997-06-01,Saloon,8433F897-7A51-4427-AA46-3EAA7C1AC402,GBR,NE,Greater London Authority
2015-01-02,Rolls Royce,United Kingdom,,181250,67000,50.0,475,300,654,Wheels'R'Us,Phantom,British Racing Green,2015,1,2007-05-25,Saloon,2B02D71B-5F7F-4B6B-9B90-6DA7E8AA07D9,GBR,NE,Greater London Authority
2015-02-02,Aston Martin,United Kingdom,,181250,80890,50.0,475,500,987,Cut'n'Shut,DB9,Dark Purple,2015,2,1997-06-01,Coupe,287F30C9-08AF-4282-8E00-4293AD0CBDD1,GBR,M,North West
2015-03-02,Aston Martin,United Kingdom,,112750,80890,50.0,475,600,963,Cut'n'Shut,DB4,Black,2015,3,1999-01-31,Coupe,CF6B7B07-7D24-4C90-8121-80963628A89B,GBR,M,North West
2015-04-02,Aston Martin,United Kingdom,,181250,80890,50.0,50,500,852,Bright Orange,DB9,Black,2015,4,2006-05-04,Coupe,CE5CE4D4-09D0-43FF-8D41-BD688323CCA6,GBR,B,West Midlands
2015-05-02,Aston Martin,United Kingdom,,112750,80890,50.01,475,400,147,Bright Orange,DB4,Night Blue,2015,5,2006-09-08,Coupe,50117989-F659-4B09-BA3C-6E6578F7E26A,GBR,B,West Midlands
2015-06-02,Aston Martin,United Kingdom,,105250,80890,800.0,425,800,852,Honest John,DB4,Canary Yellow,2015,6,2006-05-04,Coupe,870399E7-9CB8-4336-A7B2-6FAF960BE032,GBR,EC,Greater London Authority
2015-07-02,Aston Martin,United Kingdom,,181250,67000,1050.0,425,750,654,Aldo Motors,Vanquish,Silver,2015,7,1998-05-08,Coupe,615E5F28-4CC6-4A01-8980-3D93FBDF9A28,GBR,ST,East Midlands
2015-08-02,Aston Martin,United Kingdom,,127250,67000,1300.0,425,850,984,Aldo Motors,Vanquish,Green,2015,8,1997-06-01,Coupe,02340FA7-74C9-4684-B340-197CD2D4ED68,GBR,ST,East Midlands
2015-09-02,Aston Martin,United Kingdom,,132750,67000,50.0,75,950,895,Honest John,DB9,Canary Yellow,2015,9,2007-05-09,Coupe,6FD1149C-88A6-4CAA-A60D-F2D909653D93,GBR,EC,Greater London Authority
2015-10-02,Aston Martin,United Kingdom,,112750,67000,50.0,425,1500,486,Bright Orange,DB9,Blue,2015,10,2002-02-02,Coupe,43927208-A3B0-4E72-B21C-0AFCA6D1AC4F,GBR,B,West Midlands
2015-11-02,Aston Martin,United Kingdom,,181250,67000,50.0,1725,1400,325,Wheels'R'Us,Vanquish,Red,2015,11,2001-09-01,Coupe,A192F21E-BF23-4894-B73D-48A7ED3C7F3F,GBR,NE,Greater London Authority
2015-12-02,Aston Martin,United Kingdom,,132750,130000,50.0,1725,1560,658,Cut'n'Shut,Rapide,Red,2015,12,2006-09-20,Coupe,8D686183-0820-4D02-AFFB-63D2711B768B,GBR,M,North West
2014-01-01,Aston Martin,USA,,112750,130000,550.0,425,1950,752,Rocky Riding,Vanquish,Red,2014,1,2001-09-01,Coupe,13AC5403-D0EE-4272-A4DD-13AEE32B4AE7,USA,NY,
2014-02-01,Jaguar,USA,,46750,30000,550.0,425,1950,486,Rocky Riding,XK,Dark Purple,2014,2,2000-09-01,Coupe,994F4127-FAB5-410E-BA6F-790C54D81944,USA,NY,
2014-03-01,Jaguar,Switzerland,,47750,42500,550.0,75,1950,486,Voitures Diplomatiques S.A.,XJ6,British Racing Green,2014,3,2000-09-01,Saloon,D58C3843-C4F8-49F1-8E49-A01F56442DBE,CHE,,
2014-04-01,Jaguar,France,,42250,30000,550.0,475,1950,486,Les Arnaqueurs,XJ12,Black,2014,4,2000-09-01,Saloon,5273FF25-EFC7-4A58-9CEA-9CFFE2BD047C,FRA,,
2014-05-01,Jaguar,United Kingdom,,46750,42500,550.0,475,1950,486,Bright Orange,XK,Canary Yellow,2014,5,2000-09-01,Coupe,6CEC03EC-DDBE-4DC0-AAE7-3161DBF296B8,GBR,B,West Midlands
2014-06-01,Jaguar,United Kingdom,,46750,30000,550.0,475,1950,486,Honest John,XJ12,Canary Yellow,2014,6,2000-09-01,Saloon,0CB3AFF2-BBDA-4267-889D-7077F9C746BE,GBR,EC,Greater London Authority
2014-07-01,Jaguar,United Kingdom,,42250,42500,550.0,1725,1950,486,Wheels'R'Us,XK,Canary Yellow,2014,7,2000-09-01,Coupe,C09BA8CA-A3BE-4DBD-B5A5-AAD73F346A1E,GBR,NE,Greater London Authority
2014-08-01,Jaguar,United Kingdom,,46750,30000,800.0,475,1950,486,Cut'n'Shut,XK,Green,2014,8,2000-09-01,Coupe,CB2DBD9A-4AFC-46AC-A7DE-9D35FB74626B,GBR,M,North West
2014-09-01,Jaguar,USA,,112750,55000,800.0,1725,2570,486,Rocky Riding,XJ12,Blue,2014,9,1997-06-01,Saloon,9A778E61-3ED5-4D05-8494-171CC7FE8DA2,USA,NY,
2014-10-01,Jaguar,Switzerland,,112750,30000,800.0,1725,2570,987,Voitures Diplomatiques S.A.,XJ12,Canary Yellow,2014,10,1997-06-01,Saloon,383E7A21-9FD1-4872-9368-16D1CC8F2B2E,CHE,,
2014-11-01,Jaguar,United Kingdom,,46750,42500,50.0,475,2570,987,Aldo Motors,XJ6,British Racing Green,2014,11,1997-06-01,Saloon,DCD04513-AC8A-4227-918D-78C1AAC7B920,GBR,ST,East Midlands
2014-12-01,Jaguar,United Kingdom,,42250,30000,50.0,475,2570,987,Aldo Motors,XK,Dark Purple,2014,12,1997-06-01,Coupe,AABC7FDB-29CA-4CE9-948A-C365D177ACA7,GBR,ST,East Midlands
2015-01-02,Jaguar,United Kingdom,,46750,42500,50.0,1725,2570,987,Honest John,XK,Canary Yellow,2015,1,1997-06-01,Coupe,B1A54C1B-9818-405D-A74F-D391E4DBA1C1,GBR,EC,Greater London Authority
2015-02-02,Jaguar,United Kingdom,,46750,30000,50.0,475,1950,987,Bright Orange,XK,British Racing Green,2015,2,1997-06-01,Coupe,FD784A6D-387C-4EA2-90C3-0B0BD26788F6,GBR,B,West Midlands
2015-03-02,Jaguar,United Kingdom,,46750,42500,800.0,475,1950,987,Cut'n'Shut,XK,Dark Purple,2015,3,1997-06-01,Coupe,B7299EAA-6921-47D2-9306-F130DAF00208,GBR,M,North West
2015-04-02,Jaguar,United Kingdom,,42250,30000,800.0,475,1950,987,Wheels'R'Us,XJ6,Red,2015,4,2006-09-20,Saloon,9AC4932F-F630-4245-9814-F902D35D3E28,GBR,NE,Greater London Authority
2015-05-02,Jaguar,United Kingdom,,112750,42500,800.0,475,1950,987,Crippen & Co,XJ6,Red,2015,5,2006-09-20,Saloon,FFAE805E-43B3-4B35-8ED5-06753351FF08,GBR,,
2015-06-02,Jaguar,Switzerland,,46750,30000,550.0,425,1950,987,Voitures Diplomatiques S.A.,XJ6,Red,2015,6,2006-09-20,Saloon,A12CAAB5-D008-475F-8BE6-FB8541077EBC,CHE,,
2015-07-02,Jaguar,USA,,42250,42500,550.0,425,1950,987,Rocky Riding,XK,Dark Purple,2015,7,2006-09-20,Coupe,7FA17E80-FC66-465E-839E-80651DC88398,USA,NY,
2015-08-02,Jaguar,United Kingdom,,42250,30000,550.0,425,1950,750,Crippen & Co,XK,British Racing Green,2015,8,2006-09-20,Coupe,AFCE8828-C9DA-4A4E-9783-1B8F9660F6A9,GBR,,
2015-09-02,Jaguar,France,,42250,17500,550.0,475,1950,750,Les Arnaqueurs,XK,Black,2015,9,2006-09-20,Coupe,064F3E61-A9DC-470B-A3A6-9859C31D321B,FRA,,
2015-10-02,Jaguar,United Kingdom,,42250,30000,800.0,475,1950,750,Wheels'R'Us,XK,Canary Yellow,2015,10,2006-09-20,Saloon,2B62E351-1254-40B4-9159-63834D64C36F,GBR,NE,Greater London Authority
2015-11-02,Jaguar,United Kingdom,,42250,42500,800.0,475,1950,750,Wheels'R'Us,XK,Canary Yellow,2015,11,2006-09-20,Coupe,8A7E95D5-DB98-4D87-93DD-82A566A95CBE,GBR,NE,Greater London Authority
2015-12-02,Jaguar,United Kingdom,,42250,30000,800.0,475,1950,1250,Cut'n'Shut,XK,Silver,2015,12,2006-09-20,Saloon,06F62464-D4BB-4E8C-9AD1-3576AF7D93B9,GBR,M,North West
2014-01-01,Jaguar,United Kingdom,,42250,42500,800.0,475,2570,1250,Cut'n'Shut,XJ6,Green,2014,1,2006-09-20,Saloon,EA7D7053-2DAA-414F-833F-9BEC975E122C,GBR,M,North West
2014-02-01,Bentley,United Kingdom,,42250,30700,800.0,475,2570,1250,Bright Orange,Continental,Blue,2014,2,2006-09-20,Saloon,70907F7F-00DD-482D-AD35-4256A4FD228E,GBR,B,West Midlands
